nct_id,overall_status,start_date,completion_date,condition,Study design info,eligibility,has_expanded_access,enrollment
NCT04453566,Recruiting,"May 27, 2020",December 2020,"COVID-19,Life Satisfaction,Anxiety,Mental Health Wellness 1,Athlete,Stress","Other,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:35 Years",No,120
NCT04403386,Recruiting,"June 1, 2020","May 31, 2022",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:30 Years,Max Age:55 Years",No,200
NCT04526977,Not yet recruiting,"September 1, 2020","September 30, 2021","Covid19,Immune Suppression,HIV-1-infection","Case-Control,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:85 Years",No,90
NCT04561102,Enrolling by invitation,"September 11, 2020","December 31, 2020",SARS-CoV-2,"Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,2500
NCT04375735,Not yet recruiting,"July 1, 2020","July 1, 2021","ARDS, Human,COVID-19","Randomized,Parallel Assignment,Patients will be randomly assigned to either receive exogenous surfactant daily for 3 days, or receive standard treatment.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,20
NCT04320472,Recruiting,"March 23, 2020",December 2020,"COVID-19,Encephalopathy,Critically Ill","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,250
NCT04508023,Recruiting,"August 13, 2020","April 6, 2021",Coronavirus Disease 2019 (COVID-19),"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,4000
NCT04460027,Recruiting,"June 22, 2020","August 31, 2020","Substance Use Disorders,Alcohol Use Disorder","Randomized,Parallel Assignment,Treatment,Double (Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:65 Years",No,160
NCT04349540,"Active, not recruiting","April 15, 2020","January 15, 2021",COVID19,"Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:3 Months,Max Age:N/A",No,40
NCT04323527,Completed,"March 23, 2020","June 7, 2020","SARS-CoV Infection,Severe Acute Respiratory Syndrome (SARS) Pneumonia","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,278
NCT04506528,Recruiting,"August 10, 2020","December 31, 2021","Covid19,Cancer,Nicotine Dependence,Pulmonary Disease,Cardiovascular Diseases,Immunosuppression Disorders","Cohort,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,170000
NCT04568525,Completed,"July 1, 2020","August 1, 2020",Covid19,"Randomized,Parallel Assignment,Randomized clinical trials,Diagnostic,Single (Participant)","gender:All,Min Age:18 Years,Max Age:75 Years",No,195
NCT04407507,Not yet recruiting,June 2020,October 2020,COVID-19,"Randomized,Parallel Assignment,Treatment,Single (Care Provider)","gender:All,Min Age:18 Years,Max Age:N/A",No,66
